Iterations,Fwd,Back
0,371.49548530578613,1813.6670589447021
1,50.037384033203125,552.8674125671387
2,48.87986183166504,552.4516105651855
3,49.381256103515625,552.8535842895508
4,123.76832962036133,569.5524215698242
5,49.00789260864258,553.0459880828857
6,49.07560348510742,552.6249408721924
7,48.81095886230469,552.6585578918457
8,48.87557029724121,552.5877475738525
9,48.75016212463379,552.703857421875
10,49.68595504760742,552.7088642120361
11,49.07846450805664,552.6642799377441
12,48.98548126220703,552.1597862243652
13,48.79307746887207,552.7558326721191
14,48.96998405456543,552.6058673858643
15,48.789024353027344,552.3948669433594
16,49.8652458190918,552.5491237640381
17,48.97332191467285,552.6278018951416
18,48.88343811035156,552.6461601257324
19,98.91819953918457,566.7288303375244
20,49.0565299987793,552.7074337005615
21,48.7368106842041,552.8678894042969
